# Time-averaged data for fix 1
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
0 50
31 6.1 0.919564 49.7901
32 6.3 0.947479 54.6067
33 6.5 0.930172 59.6403
34 6.7 0.986707 65.3133
35 6.9 1.00923 71.4675
36 7.1 1.01774 78.0385
37 7.3 1.04369 85.162
38 7.5 1.01988 92.5096
39 7.7 1.03169 100.344
40 7.9 1.03477 108.615
41 8.1 1.01947 117.182
42 8.3 1.01462 126.134
43 8.5 1.00045 135.392
44 8.7 0.998422 145.071
45 8.9 0.985576 155.069
46 9.1 0.976516 165.426
47 9.3 0.985873 176.347
48 9.5 1.00347 187.946
49 9.7 1.01618 200.191
50 9.9 0.967006 212.33
900 50
1 0.1 0 0
2 0.3 0 0
3 0.5 0 0
4 0.7 0 0
5 0.9 3.65456 0.369736
6 1.1 1.92954 0.660956
7 1.3 2.20943 1.12634
8 1.5 0.697749 1.32191
9 1.7 0.638604 1.55175
10 1.9 0.692393 1.86296
11 2.1 0.392658 2.07852
12 2.3 0.511666 2.41542
13 2.5 0.563418 2.85368
14 2.7 0.483077 3.29193
15 2.9 0.394216 3.7045
16 3.1 0.444092 4.23555
17 3.3 0.793302 5.31049
18 3.5 1.10049 6.98787
19 3.7 1.2605 9.1349
20 3.9 1.25978 11.5189
21 4.1 1.23819 14.1085
22 4.3 1.19025 16.8465
23 4.5 1.15198 19.7488
24 4.7 1.14435 22.8936
25 4.9 1.07053 26.0914
26 5.1 1.02043 29.3933
27 5.3 0.984096 32.8323
28 5.5 0.933561 36.3455
29 5.7 0.929246 40.1014
30 5.9 0.928965 44.1242
31 6.1 0.945227 48.4996
32 6.3 0.919419 53.0393
33 6.5 0.934333 57.95
34 6.7 0.961959 63.3219
35 6.9 1.00848 69.2948
36 7.1 1.02759 75.7388
37 7.3 1.01771 82.4854
38 7.5 1.04169 89.7744
39 7.7 1.02215 97.3133
40 7.9 1.03247 105.329
